barcode;price;due_data;stock
7703763301133;97.24;2026-07-25;493
6942189304378;63.24;2026-03-25;17
7591519001716;161.22;2026-12-25;261
7592349832235;70.43;2025-10-25;352
730170649234;127.58;2025-09-25;120
8904180213064;340.8;2024-09-25;107
7591519000559;480.56;2025-11-25;166
7591519316162;1046.19;2026-10-25;75
7841134017778;350.3;2025-10-25;142
7841134017785;155.64;2025-10-25;89
7841134017839;188.08;2025-08-25;48
7597134000981;223.88;;386
787790457756;275.03;;2
7591616000704;307.02;;94
7591616002937;221.88;;88
7599028000107;143.05;2025-09-25;50
7597134000868;213.31;2025-05-25;243
7599028000114;177.01;2026-02-25;69
7592946001171;296.44;2025-10-25;96
7750215007167;508.49;2026-05-25;42
7703712032439;463.16;2025-09-25;100
7703763660131;280.16;2025-03-25;175
7591519003048;220.34;2026-12-25;184
7591196003171;155.15;2027-04-25;329
7591196000101;155.15;2027-05-25;248
7591196000095;152.9;;14
7597285000397;208.91;2026-07-25;3
7597285000403;245.94;2026-07-25;89
7750215026632;301.92;2025-10-25;198
7750215020647;458.95;2025-07-25;64
7591955000144;161.25;2026-05-25;85
7591955000120;187.05;2026-01-25;46
7594000851357;112.87;;48
7594000851371;113.69;2025-07-25;257
7591955000175;144.48;2026-06-25;155
7591955000151;210.27;2026-01-25;74
7591955000168;208.98;2025-05-25;177
8904180213279;473.97;;243
7597758000411;700.55;2025-08-25;66
7597758000718;325.32;2025-08-25;29
8904306503208;136.44;2025-05-01;156
7750215962480;1320.88;2026-04-25;4
7591585273017;306.39;2026-01-25;59
730170649241;221.32;2026-06-25;103
736372230096;60.95;2025-07-25;199
6937861391395;335.59;2025-07-25;31
8904187881303;252.28;2026-06-25;44
8906081308894;238.53;2026-11-25;56
8906081306876;211.03;2026-08-25;225
791466994490;120.59;2026-01-25;303
7591519007220;246.7;2025-12-25;32
7592616584102;93.36;;59
7594001100577;106.62;;4
7592803001801;170.28;;86
7592803003997;216.72;2025-11-25;83
7592803004055;112.23;2026-12-25;88
7592803000200;98.04;2027-02-25;95
18904187829326;180.88;2026-06-25;36
7594000491102;187.05;;48
7591020003148;111.38;2025-05-25;18
7591955000182;232.2;2025-10-25;44
7591020080750;165.93;2029-01-25;1002
7591020080767;271.87;2028-11-25;1453
7750215008751;104.73;2025-04-25;168
7597758000619;121.08;2025-04-25;15
7591020008037;326.64;2025-06-25;103
7591818716700;119.41;;536
7591818116043;50.08;2026-11-25;3348
7591818215265;96.45;2026-10-25;1366
7591818716724;101.06;;203
8904180251578;137.77;2024-06-25;269
7591616002944;234.78;2026-07-25;36
7592946168553;247.77;2025-10-25;32
7599028000121;133.97;;13
7599028000138;143.77;2025-10-25;29
7591616002951;175.44;2026-06-25;49
7597134002237;85.53;2025-02-25;18
7703763300051;207.17;2025-11-25;525
7598677000018;78.81;2025-08-25;71
8904250520757;137.51;2026-07-25;157
7591519000887;137.76;2025-06-25;98
7591519000702;205.6;2026-11-25;110
8904187829503;67.7;2025-07-25;41
8904250520764;111.07;2026-08-25;28
8904187830677;55.01;2025-09-25;229
8904306503581;49.31;;35
7750215136249;93.01;2027-06-25;215
8904306503598;65.52;2026-07-25;77
7591585277459;116.38;;37
7597758000664;62.04;2026-09-25;571
7597758000657;67.34;2025-11-25;503
7598677000483;504.63;2025-11-25;20
7598677000537;506.68;2026-11-25;3
8904097387148;326.33;2025-04-25;128
7591020001069;121.7;2025-09-25;128
7591020001076;124.02;2028-09-25;108
7591818716779;361.98;2026-04-25;6
7591818716786;307.55;2026-03-25;46
7591818000120;60.63;2026-09-25;2
7591818716878;170.63;;63
7591818000090;246.0;2026-11-25;788
7591818716885;114.6;2025-03-25;10
7592946005889;201.82;2024-10-25;9
